postalCode,activity,neighbourhood,date,popupContent,lon,lat
N2P 2H6,Easter Egg Hunt,Settler's Grove ,2015-04-4,<b>Activity:</b> Easter Egg Hunt<br><b>Neighbourhood:</b> Settler's Grove <br><b>Date:</b> 2015-04-4,-80.4081349,43.4060776
N2P 2H5,Earth Day Neighbourhood Cleanup,Settler's Grove ,2015-04-25,<b>Activity:</b> Earth Day Cleanupt<br><b>Neighbourhood:</b> Settler's Grove <br><b>Date:</b> 2015-04-25,-80.4022219,43.4061759
N2M 3R7,Garage Sale ,Mill-Courtland,2015-05-02,<b>Activity:</b> Garage Sale <br><b>Neighbourhood:</b> Mill-Courtland<br><b>Date:</b> 2015-05-02,-80.4823599,43.4357543
N2E 1C3,Street Party,Laurentian Hills,2015-06-01,<b>Activity:</b> Street Party<br><b>Neighbourhood:</b> Laurentian Hills<br><b>Date:</b> 2015-06-01,-80.4962588,43.4178078
N2K 1K6,Spring Walk in Bechtel Park,Bridgeport,2015-03-23,<b>Activity:</b> Spring Walk in Bechtel Park<br><b>Neighbourhood:</b> Bridgeport<br><b>Date:</b> 2015-03-23,-80.4893096,43.4828832
N2K 1T7,"The Great Gerard and Crumbly with Magic, Comedy Juggling and much, much more.",Bridgeport,2015-05-09,"<b>Activity:</b> The Great Gerard and Crumbly with Magic, Comedy Juggling and much, much more.<br><b>Neighbourhood:</b> Bridgeport<br><b>Date:</b> 2015-05-09",-80.4987777,43.4897139
N2H 2V8,Central Fairies- Fairy Door Walk,Brubacher St Neighbourhood,2015-05-2,<b>Activity:</b> Central Fairies- Fairy Door Walk<br><b>Neighbourhood:</b> Brubacher St Neighbourhood<br><b>Date:</b> 2015-05-2,-80.4791454,43.4509312
N2J 1A4,Birdwatching Walk ,Victoria Park,2015-05-02,<b>Activity:</b> Birdwatching Walk <br><b>Neighbourhood:</b> Victoria Park<br><b>Date:</b> 2015-05-02,-80.5084185,43.459123
N2A 3R6,Movie Night,Centreville-Chicopee,2015-04-16,<b>Activity:</b> Movie Night<br><b>Neighbourhood:</b> Centreville-Chicopee<br><b>Date:</b> 2015-04-16,-80.4269147,43.4518422
N2E 4C4,Easter Egg Hunt,Williamsburg Neighbourhood ,2015-04-05,<b>Activity:</b> Easter Egg Hunt<br><b>Neighbourhood:</b> Williamsburg Neighbourhood <br><b>Date:</b> 2015-04-05,-80.5117186,43.4031192
N2E 1N2,Community Easter Egg Hunt,Alpine Community,2015-04-04,<b>Activity:</b> Community Easter Egg Hunt<br><b>Neighbourhood:</b> Alpine Community <br><b>Date:</b> 2015-04-04,-80.4761915,43.4179953
N2E 4A3,Laurentian Wetland Cleanup,Williamsburg Neighbourhood ,2015-04-25,<b>Activity:</b> Laurential Wetland Cleanup<br><b>Neighbourhood:</b> Williamsburg <br><b>Date:</b> 2015-04-25,-80.51501869,43.4068298
N2H 4Y5,Family Fun Night,Victoria Park ,2015-04-17,<b>Activity:</b> Family Fun Night-Friday Movie<br><b>Neighbourhood:</b> Victoria Park <br><b>Date:</b> 2015-04-17,-80.4888753,43.4520439
